"","job_id","task_index","start_time","end_time","task_duration","number_of_entries","avg_cpu_rate","avg_memory_usage","avg_disk_io_time","avg_disk_space_usage","stdev_cpu_rate","stdev_memory_usage","stdev_disk_io_time","stdev_disk_space_usage","var_cpu_rate","var_memory_usage","var_disk_io_time","var_disk_usage_space","median_cpu_rate","median_memory_usage","median_disk_io_time","median_disk_space_usage","max_cpu_time","max_memory_usage","max_disk_io_time","max_disk_usage_space"
"9260",3695027940,7,6e+08,2.514e+11,2.424e+11,808,0.21346375,0.0422944183168318,0.00052118948019802,0.000118958589108911,0.0784972856959563,0.000847917871605201,0.000140864450213864,3.90052075065494e-05,0.00616182386163258,7.18964716987493e-07,1.98427933340541e-08,1.52140621262898e-09,0.2729,0.0426,0.0005064,0.0001154,2.242,0.04462,0.09521,0.0001841
"9261",3695027940,8,6e+08,2.514e+11,2.394e+11,798,0.222844962406015,0.0432599122807019,0.000692324812030074,0.000115265551378446,0.081035313924373,0.000757504731101208,0.00017449138819144,3.87429869333948e-05,0.00656672210282167,5.73813417640714e-07,3.04472445529759e-08,1.5010190365212e-09,0.2798,0.04352,0.0006871,0.0001116,3.023,0.04553,0.07361,0.0001812
"9262",3695027940,9,6e+08,2.514e+11,2.43e+11,810,0.205727962962963,0.0410753703703705,0.000288314444444444,0.000107303555555556,0.0766918070165236,0.000803467253718768,8.64987565448612e-05,3.9047598904069e-05,0.0058816332634597,6.4555962779838e-07,7.48203488380717e-09,1.52471498017305e-09,0.2651,0.04065,0.0002747,0.0001035,6.898,0.0426,0.04443,0.0001726
"9263",3695027940,10,6e+08,2.514e+11,2.412e+11,804,0.217044241293533,0.042382798507463,0.000555206840796019,0.00011468210199005,0.0794078630920347,0.000665685353964956,0.000169264858783206,3.87320532778454e-05,0.00630560872084333,4.43136990483449e-07,2.86505924188986e-08,1.50017195111785e-09,0.27615,0.0426,0.0005436,0.0001116,6.914,0.04462,0.05774,0.0001793
"9264",3695027940,11,6e+08,2.514e+11,2.397e+11,799,0.206623128911139,0.0420241051314144,0.000273980976220275,8.69665581977472e-05,0.0777742414672859,0.000980863855853858,0.000117542675292148,3.74125120506316e-05,0.00604883263581169,9.62093903720498e-07,1.38162805148353e-08,1.39969605793865e-09,0.2646,0.04248,0.0002565,8.488e-05,6.273,0.04456,0.05634,0.0001554
"9265",3695027940,12,6e+08,2.514e+11,2.418e+11,806,0.215543424317618,0.0424513151364766,0.000306990074441688,9.91751116625312e-05,0.0793275579723058,0.000900331895983852,0.000105119340997133,3.87946443403033e-05,0.00629286145384954,8.10597522925878e-07,1.10500758516715e-08,1.50502442949062e-09,0.2744,0.0426,0.0002947,9.632e-05,2.473,0.04462,0.04901,0.0001631
"9266",3695027940,13,6e+08,2.514e+11,2.421e+11,807,0.212960086741016,0.042174175960347,0.000526716728624535,7.51501734820321e-05,0.0799942200385167,0.000833938476982325,0.000170819836977201,3.84416679329686e-05,0.00639907523957062,6.95453383391599e-07,2.91794167049176e-08,1.47776183346863e-09,0.2681,0.04254,0.0005102,7.248e-05,0.8008,0.04456,0.07275,0.000144
"9267",3695027940,14,6e+08,2.514e+11,2.35094e+11,784,0.229200918367347,0.042680293367347,0.000663841964285715,0.00012907,0.0809365758891018,0.000762278992551078,0.000410939597829578,3.81565312681374e-05,0.00655072931665233,5.81069262484687e-07,1.68871353064335e-07,1.45592087841635e-09,0.2886,0.04248,0.00059125,0.0001259,2.68,0.04468,0.05652,0.0001926
"9268",3695027940,15,6e+08,2.514e+11,2.439e+11,813,0.213005264452644,0.0423627675276755,0.000429851783517835,0.00011575606396064,0.0798551410619554,0.000742118085307388,0.000130857843608567,3.91143051421666e-05,0.0063768435540248,5.50739252540304e-07,1.71237752338841e-08,1.52992886675452e-09,0.2734,0.04254,0.0004253,0.0001125,1.459,0.04456,0.07666,0.0001802
"9269",3695027940,16,6e+08,2.514e+11,2.424e+11,808,0.214345,0.0422532549504949,0.000392331683168316,9.82676361386139e-05,0.0807878122778393,0.000683320433414246,0.00010206368901696,3.89738960328126e-05,0.00652667061263941,4.66926814721433e-07,1.04169966157508e-08,1.51896457197649e-09,0.2749,0.04248,0.0003948,9.441e-05,0.6953,0.04449,0.06134,0.0001631
